,followers
0,rcrystal_shop
1,sherisst
2,eye4crystals
3,gseow981
4,giselleeeee.li
5,positication
6,kc3.crystals
7,jineyyy_
8,gebiboi
9,tzekym
10,mineralcatsgems
11,elenamarie
12,foxxymonstrr
13,deepfriedmilk___
14,veeronica.51
15,jadeangelshop
16,adelitygan
17,yuriolga8
18,lohserine
19,cassiesgemmies
20,colleenlkl
21,gina7773
22,_helo._._
23,numzcrystal
24,favianke3_
25,jojoli.crystal
26,hwasabwi
27,gui_enabler
28,vanxystal
29,allister1989
30,29.nnny
31,scoobygroomer
32,moonhuexx
33,lucknowikurti2021
34,safpotter
35,tajwa_le
36,secretnudges
37,xzilxx
38,shalalaonzenmode
39,jiaxin_ho_
40,vivianang
41,stefanieyza
42,hopeandbliss1
43,choupee_diy_rhinestone
44,heyho.helen
45,trii_1799
46,lxyshermaine
47,christalizedd
48,munlee0804
49,dranktoomuchgin
50,aura.crystal_
51,angelineweee
52,talavera1978
53,cantika_gems
54,mixtsuxru
55,baby_firefly_420
56,j.lxy
57,fuk.u.nicorn
58,yvonne.2929
59,celinefoodfood
60,subtlewows
61,dumiscrystals
62,crystalclan.co
63,sabrrinanana
64,brendalauys
65,r.believer
66,kluyi
67,tysonchickenwings
68,xx.ratboy.xx
69,xoxolingx
70,imgrace.ee
71,kissmefunnybunny
72,louisecaswellx
73,iuhiuhiuu
74,asyamohamed383
75,xo_jericca_
76,cheryl_weixuan
77,amyris.asia
78,littlecrystalboo
79,madtannn
80,crystellanjiao
81,leshie7556
82,charlotteteng8
83,tianmibaba
84,jayce.yui
85,lavendermossj
86,crystalclaires
87,summer.neoneo
88,jl_serendipity
89,madamembul
90,makkacrystals
91,glamalacious
92,diooryy
93,divinehealing.now
94,relmore1626
95,amaka_bey
96,vvvalerietan
97,buttercak3e
98,peanutbutterflies
99,winterglow.co
100,celestialfragments_
101,mikoohlala
102,emeraldeclecticllc
103,kuati
104,crystals_by_flowers
105,duartepaloma_paula
106,finnsullyrose
107,cc.chloo
108,lusiianasanjaya
109,stinaloveeee
110,thetreasuretrovemnl
111,shinyrainbowsea
112,krispykremmeeee
113,the_zen_of_pisces
114,_iamanelldaa
115,joeyyy._
116,nevaehcook354
117,lovemeatball
118,white__rose1400
119,thebeaderdays
120,chaerycrystals
121,karima_manja
122,limaantonioalencarde
123,blueaurabell
124,fantacrystals
125,estherlow10
126,angelscurator
127,d.laurel3
128,crystals.love.2022
129,lifestyledagordinha
130,jaclynization
131,valerieyongyt
132,jolecml
133,mozimozimomo
134,yikouchi.sg
135,szukauskas03
136,alvinliewalvin
137,martin_moonnight
138,dreamcaster38
139,janielletyx
140,sadwhales
141,eileenkeakk
142,houppette
143,alli.none844
144,li_yan_wang
145,rah.crystals
146,camilamillideas
147,cherylchuaaaa
148,zhende.jiade
149,crystalist.co
150,paro.crystals
151,cryst.alove
152,dtan724
153,4ten3
154,mayraosolis
155,fluffypomz
156,yunxiao350
157,quinmonster
158,leeginny
159,11stoness.co
160,honeystals
161,chartutu
162,maria_maees
163,txiuling
164,titaniasoh_
165,huangrichard
166,acnh.meow
167,lorimarkayla
168,kaireiou
169,__bloopbloop_._
170,panda.1253
171,nicmercjones
172,inft_xiucho0
173,animaladf
174,adnamanat
175,selenite_heartbeat
176,nzdd_xd
177,lluciags
178,kanyewestcrystals
